"Zip Code","Building type (service class"," Consumption (therms) "," Consumption (GJ) ","Utility/Data Source"
"   10300","Commercial","470","50","National Grid"
"   10335","Commercial","647","68","National Grid"
"   10360","Large residential","33,762","3,562","National Grid"
"   11200","Commercial","32,125","3,389","National Grid"
"   11200","Institutional","3,605","380","National Grid"
"   11200","Small residential","3,960","418","National Grid"
"   11254","Small residential","1,896","200","National Grid"
"   11274","Commercial","8,364","882","National Grid"
"   11279","Commercial","2,579","272","National Grid"
"   11279","Large residential","301","32","National Grid"
"   11303","Commercial","13,039","1,376","National Grid"
"   11303","Small residential","3,009","317","National Grid"
"   11313","Small residential","3,488","368","National Grid"
"   11314","Small residential","6,011","634","National Grid"
"   11315","Commercial","8,520","899","National Grid"
"   11315","Institutional","339","36","National Grid"
"   11315","Large residential","335,091","35,354","National Grid"
"   11315","Small residential","4,458","470","National Grid"
"   11323","Commercial","3,637","384","National Grid"
"   11332","Commercial","3,795","400","National Grid"
"   11335","Large residential",,,"National Grid"
"   11337","Commercial","4,928","520","National Grid"
"   11343","Small residential","2,454","259","National Grid"
"   11350","Commercial","10,048","1,060","National Grid"
"   11388","Commercial","823","87","National Grid"
"   11400","Commercial","21,866","2,307","National Grid"
"   11400","Industrial","275","29","National Grid"
"   11400","Institutional","93,140","9,827","National Grid"
"   11400","Large residential","280","30","National Grid"
"   11400","Small residential","51,072","5,388","National Grid"
"   11402","Commercial","65","7","National Grid"
"   11403","Small residential","1,127","119","National Grid"
"   11438","Institutional","1,770","187","National Grid"
"   11441","Small residential","1,126","119","National Grid"
"   11446","Small residential","604","64","National Grid"
"   11450","Commercial","455","48","National Grid"
"   11468","Institutional","49,184","5,189","National Grid"
"   11468","Small residential","1,601","169","National Grid"
"   11469","Commercial","151","16","National Grid"
"   11469","Institutional","41,819","4,412","National Grid"
"   11472","Institutional","7,869","830","National Grid"
"   11473","Institutional","40,595","4,283","National Grid"
"   11473","Small residential","7,335","774","National Grid"
"   11474","Large residential","2,223,970","234,641","National Grid"
"   11475","Institutional","8,503","897","National Grid"
"   11477","Institutional","22,660","2,391","National Grid"
"   11477","Large residential","493,904","52,110","National Grid"
"   11478","Institutional","19,018","2,007","National Grid"
"   11479","Institutional","21,169","2,233","National Grid"
"   11485","Institutional","10,790","1,138","National Grid"
"   11696","Small residential","5,218","551","National Grid"
"   10451 (40.820696407114, -73.923841367985)","Commercial","8,071,587","851,598","ConEd"
"   10468 (40.869693003729, -73.898926992487)","Residential","907,812","95,779","ConEd"
"   11212 (40.662797169953, -73.912984894337)","Institutional","1,441,719","152,109","National Grid"
"   11420 (40.673345242689, -73.817707171649)","Small residential","9,694,601","1,022,835","National Grid"
"   11694 (40.576578305644, -73.850777000558)","Commercial","2,058,660","217,200","National Grid"
"   11210 (40.627722263871, -73.946537919989)","Industrial","63,151","6,663","National Grid"
"   10309 (40.530393118348, -74.218938614326)","Small residential","8,086,128","853,132","National Grid"
"   10034 (40.870617109292, -73.924223258796)","Residential","226,754","23,924","ConEd"
"   11422 (40.661613493968, -73.736051726406)","Commercial","295","31","ConEd"
"   10044 (40.761976486226, -73.949999674945)","Residential","93,171","9,830","ConEd"
"   10010 (40.739140782121, -73.982898456399)","Large Residential","212,584","22,429","ConEd"
"   11358 (40.760350968822, -73.796326458199)","Residential","405,678","42,801","ConEd"
"   11426 (40.737041384952, -73.724156998946)","Commercial","1,380","146","National Grid"
"   11432 (40.71311535449, -73.792820999789)","Commercial","1,433,501","151,242","ConEd"
"   11237 (40.704095739827, -73.920994233997)","Institutional","809,265","85,382","National Grid"
"   11220 (40.641184928741, -74.016764726711)","Large residential","6,756,193","712,816","National Grid"
"   11362 (40.759074216602, -73.734300177111)","Large Residential","36,526","3,854","ConEd"
"   11101 (40.745702449808, -73.938669029252)","Residential","182,865","19,293","ConEd"
"   11206 (40.701912016826, -73.942379198541)","Small residential","5,252,607","554,179","National Grid"
"   10039 (40.826681928628, -73.937770907801)","Residential","471,926","49,791","ConEd"
"   10022 (40.758630224006, -73.96809182218)","Residential","981,692","103,574","ConEd"
"   10314 (40.596490302985, -74.165991118795)","Industrial","441,639","46,595","National Grid"
"   11226 (40.646505002304, -73.957190099144)","Industrial","65,835","6,946","National Grid"
"   11420 (40.673345242689, -73.817707171649)","Industrial","8,901","939","National Grid"
"   11426 (40.737041384952, -73.724156998946)","Small residential","2,754","291","National Grid"
"   10454 (40.805846930092, -73.916285046518)","Residential","151,124","15,944","ConEd"
"   10002 (40.716121467931, -73.985831470246)","Commercial","4,230,121","446,301","ConEd"
"   11429 (40.709913120494, -73.738640316098)","Commercial","717,488","75,699","National Grid"
"   11377 (40.745193764481, -73.90484714408)","Residential","366,911","38,711","ConEd"
"   11211 (40.711589765256, -73.958176750756)","Institutional","1,200,176","126,625","National Grid"
"   10017 (40.752456527447, -73.97297648088)","Commercial","2,506,308","264,430","ConEd"
"   10457 (40.845798371298, -73.898324186812)","Residential","1,697,773","179,125","ConEd"
"   10012 (40.725538020863, -73.997896410591)","Large Residential","7,190,053","758,591","ConEd"
"   11360 (40.780701334399, -73.782267336868)","Commercial","17,858","1,884","ConEd"
"   11365 (40.739871843711, -73.794621535156)","Commercial","1,336,553","141,014","ConEd"
"   11436 (40.675718209128, -73.796465014948)","Large residential","225,350","23,776","National Grid"
"   11209 (40.623387097237, -74.030652953471)","Commercial","2,452,630","258,766","National Grid"
"   11223 (40.596939623165, -73.973311472047)","Small residential","14,240,984","1,502,504","National Grid"
"   10006 (40.708256140309, -74.013553569641)","Residential","15,601","1,646","ConEd"
"   10002 (40.716121467931, -73.985831470246)","Residential","4,509,087","475,734","ConEd"
"   10463 (40.881871962821, -73.911207480541)","Commercial","7,214,349","761,154","ConEd"
"   10314 (40.596490302985, -74.165991118795)","Institutional","2,294,516","242,084","National Grid"
"   10065 (40.764301213031, -73.963039935445)","Residential","1,795,744","189,461","ConEd"
"   10006 (40.708256140309, -74.013553569641)","Commercial","235,511","24,848","ConEd"
"   11365 (40.739871843711, -73.794621535156)","Small residential","3,378","356","National Grid"
"   10467 (40.877047912132, -73.871532500824)","Commercial","14,662","1,547","ConEd"
"   11104 (40.744893366636, -73.920541345307)","Commercial","1,399,157","147,619","ConEd"
"   10466 (40.890809730185, -73.846009063068)","Residential","6,056,272","638,971","ConEd"
"   11370 (40.75935377086, -73.8918440004)","Commercial","29,295","3,091","ConEd"
"   10451 (40.820696407114, -73.923841367985)","Commercial","2,168,883","228,829","ConEd"
"   10065 (40.764301213031, -73.963039935445)","Residential","156,086","16,468","ConEd"
"   11367 (40.730323085042, -73.82610630716)","Commercial","6,820,750","719,627","ConEd"
"   11693 (40.618303604728, -73.824955315236)","Small residential","948,328","100,054","National Grid"
"   11379 (40.71679766548, -73.879334213103)","Small residential","6,789,947","716,377","National Grid"
"   11423 (40.717222295672, -73.76714149998)","Residential","261,189","27,557","ConEd"
"   10021 (40.769205327664, -73.959183941086)","Residential","2,002,900","211,317","ConEd"
"   10025 (40.796850127631, -73.963725810598)","Commercial","8,752,223","923,409","ConEd"
"   11373 (40.738710402563, -73.878351155182)","Residential","5,089","537","ConEd"
"   11210 (40.627722263871, -73.946537919989)","Institutional","1,837,588","193,876","National Grid"
"   10302 (40.630833311108, -74.137734298699)","Institutional","644,313","67,979","National Grid"
"   11221 (40.691288039511, -73.927617927925)","Industrial","50,866","5,367","National Grid"
"   10459 (40.825526216162, -73.893131067844)","Residential","2,246,422","237,010","ConEd"
"   11231 (40.677554311782, -74.004676704366)","Small residential","5,330,545","562,402","National Grid"
"   10471 (40.901994423104, -73.903626500562)","Residential","2,226,655","234,925","ConEd"
"   11361 (40.764188848137, -73.7723255286)","Residential","290,730","30,674","ConEd"
"   11232 (40.654511617018, -74.000033929122)","Commercial","3,285,406","346,629","National Grid"
"   10306 (40.566020489654, -74.119945669057)","Institutional","434,767","45,870","National Grid"
"   10034 (40.870617109292, -73.924223258796)","Commercial","1,521,876","160,566","ConEd"
"   11004 (40.743237834359, -73.712015000192)","Commercial","2,555,500","269,620","ConEd"
"   11355 (40.751299796948, -73.821478547897)","Residential","5,458,878","575,942","ConEd"
"   11001 (40.721390004945, -73.707396928425)","Commercial","375,299","39,596","ConEd"
"   10310 (40.632789000212, -74.11645860538)","Industrial","20,001","2,110","National Grid"
"   10475 (40.874142343794, -73.827068565562)","Commercial","11,525,984","1,216,056","ConEd"
"   11361 (40.764188848137, -73.7723255286)","Commercial","1,616,689","170,570","ConEd"
"   11205 (40.693882095283, -73.964334507731)","Industrial","949,014","100,126","National Grid"
"   11426 (40.737041384952, -73.724156998946)","Commercial","529,932","55,911","ConEd"
"   10027 (40.811549564461, -73.952900335682)","Large Residential","10,352,199","1,092,215","ConEd"
"   10308 (40.552935295428, -74.151302759814)","Commercial","565,006","59,611","National Grid"
"   11105 (40.780092072491, -73.90960650024)","Commercial","2,763,314","291,545","ConEd"
"   11364 (40.74592468038, -73.757902755608)","Residential","269,069","28,388","ConEd"
"   11363 (40.772398418252, -73.746797887413)","Large Residential","40,443","4,267","ConEd"
"   10023 (40.774536138232, -73.979943356101)","Large Residential","394,079","41,578","ConEd"
"   11429 (40.709913120494, -73.738640316098)","Industrial","150,862","15,917","National Grid"
"   10007 (40.713630519433, -74.009131383706)","Large Residential","12,021","1,268","ConEd"
"   10464 (40.875709096797, -73.812297250418)","Commercial","602,169","63,532","ConEd"
"   11209 (40.623387097237, -74.030652953471)","Institutional","2,102,591","221,835","National Grid"
"   11416 (40.684578097002, -73.849601668482)","Commercial","736,110","77,664","National Grid"
"   11423 (40.717222295672, -73.76714149998)","Small residential","5,458,466","575,899","National Grid"
"   11216 (40.680758670876, -73.949267750906)","Institutional","1,015,256","107,115","National Grid"
"   10469 (40.868181802748, -73.846568687795)","Commercial","1","0","ConEd"
"   10456 (40.830436680009, -73.907765199504)","Residential","600,008","63,304","ConEd"
"   11229 (40.601233507321, -73.944368541175)","Large residential","13,147,358","1,387,120","National Grid"
"   11697 (40.559624370968, -73.910062999708)","Commercial","95,842","10,112","National Grid"
"   11360 (40.780701334399, -73.782267336868)","Commercial","2,307,963","243,503","ConEd"
