"ZIP","Building type (service class)"," Consumption (mlbs) "," Consumption (Mg) ","Utility/Data Source"
"   10048","Commercial","72,117","32,712","ConEd"
"   10007 (40.713630519433, -74.009131383706)","Commercial","9,050","4,105","ConEd"
"   10038 (40.709359291898, -74.003071862376)","Commercial","12,944","5,871","ConEd"
"   10021 (40.769205327664, -73.959183941086)","Commercial","253,883","115,159","ConEd"
"   10038 (40.709359291898, -74.003071862376)","Commercial","238,716","108,280","ConEd"
"   10013 (40.721242188776, -74.008889000227)","Large Residential","9,492","4,305","ConEd"
"   10013 (40.721242188776, -74.008889000227)","Commercial","862","391","ConEd"
"   10038 (40.709359291898, -74.003071862376)","Large Residential","102,786","46,623","ConEd"
"   10021 (40.769205327664, -73.959183941086)","Large Residential","117,350","53,229","ConEd"
"   10019 (40.76761164716, -73.991805500224)","Large Residential","589,675","267,472","ConEd"
"   10075 (40.772939491764, -73.956090162631)","Commercial","6,308","2,861","ConEd"
"   10017 (40.752456527447, -73.97297648088)","Commercial","168,800","76,566","ConEd"
"   10017 (40.752456527447, -73.97297648088)","Large Residential","1,786,465","810,327","ConEd"
"   10022 (40.758630224006, -73.96809182218)","Commercial","29,046","13,175","ConEd"
"   10001 (40.750259021437, -73.99688630376)","Commercial","32,974","14,957","ConEd"
"   10003 (40.731943947555, -73.98887214913)","Commercial","7,757","3,519","ConEd"
"   10003 (40.731943947555, -73.98887214913)","Commercial","186,776","84,720","ConEd"
"   10023 (40.774536138232, -73.979943356101)","Commercial","2,760","1,252","ConEd"
"   10065 (40.764301213031, -73.963039935445)","Large Residential","139,824","63,423","ConEd"
"   10004 (40.688827825344, -74.019112505837)","Large Residential","58,818","26,679","ConEd"
"   10028 (40.776344978838, -73.952966679569)","Commercial","292,775","132,800","ConEd"
"   10036 (40.759346827194, -73.989860554421)","Large Residential","185,204","84,007","ConEd"
"   10009 (40.726649358981, -73.979111485007)","Commercial","1,326","602","ConEd"
"   10001 (40.750259021437, -73.99688630376)","Large Residential","422,902","191,825","ConEd"
"   10022 (40.758630224006, -73.96809182218)","Commercial","1,755,941","796,481","ConEd"
"   10019 (40.76761164716, -73.991805500224)","Commercial","983,027","445,893","ConEd"
"   10004 (40.688827825344, -74.019112505837)","Commercial","21,594","9,795","ConEd"
"   10019 (40.76761164716, -73.991805500224)","Commercial","115,730","52,494","ConEd"
"   10036 (40.759346827194, -73.989860554421)","Commercial","31,939","14,487","ConEd"
"   10005 (40.706125792072, -74.008584685835)","Large Residential","34,476","15,638","ConEd"
"   10011 (40.744715266696, -74.00460000029)","Large Residential","71,882","32,605","ConEd"
"   10025 (40.796850127631, -73.963725810598)","Commercial","227","103","ConEd"
"   10014 (40.733586451354, -74.010199604728)","Commercial","739","335","ConEd"
"   10033 (40.856219929206, -73.945859000193)","Commercial","8,030","3,642","ConEd"
"   10003 (40.731943947555, -73.98887214913)","Large Residential","101,042","45,832","ConEd"
"   10012 (40.725538020863, -73.997896410591)","Commercial","628","285","ConEd"
"   10010 (40.739140782121, -73.982898456399)","Large Residential","98,209","44,547","ConEd"
"   10017 (40.752456527447, -73.97297648088)","Commercial","193,412","87,730","ConEd"
"   10005 (40.706125792072, -74.008584685835)","Commercial","5,521","2,504","ConEd"
"   10016 (40.745242969987, -73.978232985864)","Large Residential","181,132","82,160","ConEd"
"   10004 (40.688827825344, -74.019112505837)","Commercial","277,308","125,785","ConEd"
"   10006 (40.708256140309, -74.013553569641)","Commercial","7,007","3,178","ConEd"
"   10036 (40.759346827194, -73.989860554421)","Commercial","4,103","1,861","ConEd"
"   10020 (40.759498513146, -73.980074397216)","Commercial","656","298","ConEd"
"   10016 (40.745242969987, -73.978232985864)","Commercial","737,916","334,713","ConEd"
"   10024 (40.783625568166, -73.966539000574)","Commercial","2,111","958","ConEd"
"   10022 (40.758630224006, -73.96809182218)","Commercial","21,918","9,942","ConEd"
"   10009 (40.726649358981, -73.979111485007)","Commercial","26,038","11,811","ConEd"
"   10023 (40.774536138232, -73.979943356101)","Large Residential","199,301","90,402","ConEd"
"   10024 (40.783625568166, -73.966539000574)","Large Residential","14,682","6,659","ConEd"
"   10036 (40.759346827194, -73.989860554421)","Commercial","1,276,990","579,233","ConEd"
