"STATION","NAME","DATE","TAVG","TMAX","TMIN","TSUN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-01","39","46","31",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-02","46","54","37",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-03","53","60","46",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-04","51","55","47",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-05","38","47","28",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-06","33","42","23",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-07","42","49","35",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-08","34","38","29",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-09","43","49","37",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-10","49","55","42",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-11","47","53","40",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-12","44","48","39",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-13","29","40","18",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-14","19","23","14",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-15","24","31","16",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-16","35","47","22",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-17","15","22","8",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-18","12","19","4",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-19","20","30","10",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-20","24","28","20",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-21","17","24","10",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-22","15","21","9",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-23","22","27","16",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-24","30","36","24",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-25","30","33","26",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-26","27","31","22",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-27","17","22","12",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-28","16","22","9",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-29","25","33","16",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-30","27","38","16",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-01-31","35","42","28",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-01","31","35","26",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-02","26","29","22",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-03","27","32","21",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-04","29","31","27",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-05","31","35","27",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-06","33","37","28",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-07","36","44","28",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-08","25","29","20",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-09","35","45","24",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-10","40","50","29",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-11","40","50","30",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-12","28","32","24",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-13","30","39","21",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-14","45","50","39",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-15","37","44","29",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-16","40","51","28",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-17","33","40","26",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-18","32","37","27",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-19","31","32","30",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-20","35","40","30",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-21","37","43","30",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-22","37","45","29",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-23","40","51","29",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-24","47","56","38",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-25","46","52","39",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-26","41","43","38",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-27","45","50","39",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-28","46","52","40",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-29","46","57","35",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-01","40","45","34",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-02","43","49","36",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-03","41","48","34",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-04","43","53","32",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-05","48","57","38",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-06","47","55","39",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-07","46","59","32",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-08","50","59","40",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-09","55","64","46",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-10","52","61","42",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-11","42","44","40",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-12","44","53","35",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-13","40","48","32",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-14","42","49","35",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-15","46","54","37",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-16","52","61","42",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-17","40","52","28",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-18","30","37","22",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-19","33","39","27",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-20","39","46","32",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-21","41","44","38",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-22","43","49","37",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-23","41","48","33",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-24","53","65","41",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-25","48","54","41",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-26","56","65","47",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-27","46","55","36",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-28","53","58","47",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-29","51","57","44",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-30","48","56","40",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-31","48","58","37",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-01","48","58","37",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-02","51","58","44",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-03","53","57","49",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-04","55","59","50",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-05","46","50","41",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-06","53","68","38",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-07","55","59","50",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-08","54","60","48",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-09","40","50","30",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-10","46","55","37",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-11","42","48","36",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-12","46","52","40",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-13","42","48","36",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-14","43","50","36",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-15","52","59","44",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-16","63","73","53",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-17","47","54","40",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-18","44","48","40",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-19","51","59","42",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-20","51","54","47",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-21","47","48","46",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-22","48","50","45",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-23","47","50","44",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-24","57","69","44",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-25","51","55","46",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-26","43","47","39",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-27","44","49","38",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-28","50","56","44",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-29","54","66","41",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-30","56","65","47",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-01","49","57","40",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-02","60","67","52",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-03","55","62","47",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-04","55","62","47",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-05","68","83","53",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-06","72","85","59",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-07","74","87","60",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-08","73","83","63",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-09","75","86","63",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-10","63","74","51",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-11","64","75","53",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-12","62","67","57",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-13","64","71","56",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-14","65","72","57",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-15","58","64","51",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-16","57","65","48",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-17","61","66","56",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-18","63","68","58",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-19","55","62","47",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-20","49","52","46",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-21","54","56","51",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-22","54","57","51",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-23","56","60","51",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-24","65","75","55",
