"zip","population","population_density","city","state","latitude","longitude"
10162,1726,151834.7700000000,"New York"," New York",40.7693,-73.9499
10028,44987,126067.6900000000,"New York"," New York",40.7769,-73.9547
10128,59856,122356.5200000000,"New York"," New York",40.7817,-73.9503
"08625",1834,115477.1700000000,"Trenton"," New Jersey",40.2072,-74.7567
10031,60221,101100.0300000000,"New York"," New York",40.8259,-73.9495
10009,58595,100687.0400000000,"New York"," New York",40.7266,-73.9790
10032,63842,97879.4500000000,"New York"," New York",40.8392,-73.9426
11372,71308,97325.4700000000,"Jackson Heights"," New York",40.7517,-73.8836
10016,51217,93367.3100000000,"New York"," New York",40.7450,-73.9783
10003,53673,93255.8700000000,"New York"," New York",40.7319,-73.9891
10002,84870,91610.4000000000,"New York"," New York",40.7160,-73.9859
10026,30377,91152.0400000000,"New York"," New York",40.8023,-73.9529
10023,62206,90007.7000000000,"New York"," New York",40.7754,-73.9822
10025,97086,88306.2400000000,"New York"," New York",40.7980,-73.9649
10453,76775,87970.2700000000,"Bronx"," New York",40.8528,-73.9123
10030,25847,85824.2400000000,"New York"," New York",40.8185,-73.9433
10021,102078,82704.4200000000,"New York"," New York",40.7697,-73.9617
11226,106154,81064.3400000000,"Brooklyn"," New York",40.6464,-73.9569
10029,75390,80506.6700000000,"New York"," New York",40.7922,-73.9452
10012,26000,80124.5100000000,"New York"," New York",40.7256,-73.9981
10033,58259,78867.6300000000,"New York"," New York",40.8491,-73.9360
10040,46599,75283.1400000000,"New York"," New York",40.8581,-73.9290
11104,29506,74459.0100000000,"Sunnyside"," New York",40.7445,-73.9205
10452,72138,74380.4200000000,"Bronx"," New York",40.8378,-73.9233
10011,46669,71113.6400000000,"New York"," New York",40.7418,-74.0007
10039,21737,70988.6800000000,"New York"," New York",40.8263,-73.9371
10456,76656,70924.4000000000,"Bronx"," New York",40.8309,-73.9080
10010,26408,70827.7000000000,"New York"," New York",40.7391,-73.9824
10468,78309,70721.8500000000,"Bronx"," New York",40.8681,-73.8997
10022,30642,68953.7100000000,"New York"," New York",40.7586,-73.9678
10037,16984,65200.9700000000,"New York"," New York",40.8132,-73.9374
10458,77840,62296.2600000000,"Bronx"," New York",40.8628,-73.8864
11103,44321,62111.1900000000,"Astoria"," New York",40.7626,-73.9132
11213,65440,61712.1600000000,"Brooklyn"," New York",40.6710,-73.9364
"02113",6401,60728.2600000000,"Boston"," Massachusetts",42.3652,-71.0554
11373,105723,60548.9900000000,"Elmhurst"," New York",40.7373,-73.8787
10457,69048,58547.9500000000,"Bronx"," New York",40.8467,-73.8984
10024,61414,58433.7100000000,"New York"," New York",40.7863,-73.9707
10014,32667,57977.3300000000,"New York"," New York",40.7335,-74.0071
11216,55775,57545.7700000000,"Brooklyn"," New York",40.6809,-73.9491
11219,85987,57544.5000000000,"Brooklyn"," New York",40.6328,-73.9966
10472,64867,57252.5900000000,"Bronx"," New York",40.8297,-73.8694
11212,85161,55655.6200000000,"Brooklyn"," New York",40.6629,-73.9130
11221,76363,55063.2900000000,"Brooklyn"," New York",40.6913,-73.9278
10038,15574,55019.6100000000,"New York"," New York",40.7093,-74.0029
10027,56168,55006.2100000000,"New York"," New York",40.8114,-73.9536
11220,92718,54760.0300000000,"Brooklyn"," New York",40.6413,-74.0163
94108,13716,53134.4700000000,"San Francisco"," California",37.7920,-122.4087
11218,74611,51580.1900000000,"Brooklyn"," New York",40.6438,-73.9760
98174,180,50978.4400000000,"Seattle"," Washington",47.6046,-122.3354
10455,37465,50333.0100000000,"Bronx"," New York",40.8147,-73.9083
11106,43130,49707.2600000000,"Astoria"," New York",40.7622,-73.9315
10017,16201,49391.4900000000,"New York"," New York",40.7523,-73.9724
90057,43986,49226.2800000000,"Los Angeles"," California",34.0619,-118.2779
10462,72077,48907.0200000000,"Bronx"," New York",40.8428,-73.8589
11206,69032,48593.2800000000,"Brooklyn"," New York",40.7020,-73.9424
11237,48910,48552.4900000000,"Brooklyn"," New York",40.7042,-73.9211
11374,44189,48499.1100000000,"Rego Park"," New York",40.7262,-73.8613
10019,36012,48230.1700000000,"New York"," New York",40.7663,-73.9850
